sentence,feat_ending,feat_strat_cnt,feat_command,feat_attack,feat_power,feat_distance,feat_indirect,score
변경하신 일정을 메일로 다른 분들에게 안내할까요?,1,0,1,0,0,2,1,2.0
다음 회의는 언제하는 것으로 할까요?,1,0,0,0,0,1,1,1.5
얇게 입으면 실내에서 추운데.,0,0,0,0,0,1,0,-0.5
"내 메일함에 새 메일이 email_schedule 개 있으며, 이 메일은 업무 일정과 관련된 것으로 분석되었습니다.",2,0,0,0,2,2,0,2.0
추천 일정은 9월 18일 오후 4시부터 5시까지입니다.,2,0,0,0,2,2,0,2.0
제 생각입니다만 살펴볼 만하다고 생각합니다.,2,0,0,0,1,1,0,1.5
찾아보면 나오잖아요. 해보지도 않고 그냥 못한다고 안 한다고.,1,0,0,1,0,1,0,-0.5
지금 어디야?,0,0,0,0,0,0,0,-0.5
나온지 얼마 안 되어서 참고할 만한 게 있을지는 모르겠습니다.,2,0,0,0,1,1,0,1.5
약국에서 산 약만 먹고 있어.,0,0,0,0,0,0,0,0.0
"박민영 이사님,안녕하십니까?",2,0,0,0,1,2,0,2.5
걱정해 줘서 고마워요. 회의는 바로 시작해요?,1,1,0,0,0,1,0,1.0
"컴패니언. 내 메일함 확인해,",0,0,2,0,1,1,0,-1.0
감사합니다.오늘 참석하신 분들 수고하셨습니다.,2,1,0,0,1,2,0,2.5
내일 아침 기온이 몇 돈데?,0,0,0,0,0,0,0,-0.5
오늘 처럼 비오는 궂은 날씨에도 제 시간에 도착해 주셔서 감사합니다.,2,1,0,0,1,2,0,2.5
누가 한 명 독박써야한다면 제가 할게요.,1,0,0,0,0,1,0,1.0
이 일정을 다음 회의 일정으로 스케줄표에 등록할까요?,1,0,1,0,0,1,1,1.5
수고했어.,0,0,0,0,0,0,0,0.0
뜬금없기는 하지만 고맙네. 나도 덩달아 기분이 좋아진다.,0,1,0,0,0,0,0,0.5
확인하시라고 지난 회의록을 검색했습니다.,2,0,0,0,1,2,0,2.0
그때 그거 말고 다른 방법이 있을까요?,1,0,0,0,0,1,1,1.0
일단 공개된 데이터 중에 쓸만 한게 있는지 찾아보죠. 없으면 직접 구축할 수 밖에 없을테니까요.,1,0,0,0,0,1,0,1.0
이게 뭐라고 회의를 두 번이나 잡아먹죠?,1,0,0,0,0,1,0,-1.0
AI 허브가 제일 먼저 검색되네요. 여기 오픈되는 AI 데이터가 있나봐요.,1,0,0,0,0,1,0,1.0
네. 그래요.,1,0,0,0,0,1,0,1.0
"이번 회의는 여기서 끝내고, 다음 회의에서 인공지능 활용성 분석 논의를 계속해볼까요?",1,0,1,0,0,1,1,1.5
다 마무리 하셨어요?,1,0,0,0,0,2,0,1.5
밝은 표정 보기 좋습니다.,2,0,0,0,1,2,0,2.0
이걸로는 재미를 못 보겠는데 또 없나?,0,0,0,0,0,0,0,-0.5
컴패니언. 이메일 체크.,0,0,2,0,1,1,0,-1.0
"공기는 깨끗한데, 비 오고 춥고 습해서 나가지 않는 게 좋을 거 같습니다.",2,0,0,0,1,1,0,1.5
박한희 박사님. 출근하셨네요.,1,0,0,0,0,2,0,1.5
이제 회의를 준비하겠습니다.,2,0,0,0,1,1,0,1.5
퇴근 시간이 거의 다 됐네.,0,0,0,0,0,0,0,0.0
뭔 일정이야?,0,0,0,0,0,0,0,-0.5
응. 오늘은 유난히 좀 피곤하네. 빨리 집에 가서 쉬어야겠어.,0,0,0,0,0,0,0,0.0
낭만이 많이 사라지셨네요.,1,0,0,0,0,2,0,1.0
음. 안 되겠군요. 다른 건 없을까요?,1,0,0,0,0,1,1,1.0
우리말 데이터가 구하는 게 그렇게 쉽다면 애초에 직접 구축을 시작하지도 않았겠죠.,1,0,0,0,0,1,0,1.0
당신이나 좀 잘하세요. 남 신경 쓰지 마시고.,1,0,0,2,1,1,0,-2.5
대화모델 개발 관련 회의가 잠시 후인 오후 4시부터 대회의실에서 시작됩니다.,2,0,0,0,2,2,0,2.0
다들 정말로 감사합니다.,2,1,0,0,1,1,0,2.0
오늘 참석이 어려운 것으로 확인했습니다.,2,0,0,0,2,2,0,2.0
네. 일정 변경 안내 메일을 보냈습니다.,2,0,0,0,1,1,0,1.5
목요일 퇴근전 현재 안개가 끼었으며 선선하고 쾌적하며 공기질은 보통입니다.,2,0,0,0,2,2,0,2.0
"와우, 좋은 선택을 하셨네요.",1,0,0,0,0,2,0,1.5
meeting_info. 오늘 스케줄에 예정대로 참석하시는 거죠?,1,0,0,0,0,2,0,1.5
아니. 바꾸면 좋겠는데.,0,0,0,0,0,0,0,0.0
추가한 일정에 대한 변경 이메일로 보낼까요?,1,0,1,0,0,1,1,1.5
"그래, 적당한 일정이네.",0,0,0,0,0,0,0,0.0
흥미 있는 데이터들이 꽤 보이는군요.,1,0,0,0,0,1,0,1.0
회의는 예정된 시간에 시작 되니 잠시 기다려주세요.,1,1,1,0,0,1,0,1.5
최민아 연구원님. 안녕하십니까?,2,0,0,0,1,2,0,2.5
좋아!,0,0,0,0,0,0,0,0.0
이 일정 마음에 드시나요?,1,0,0,0,0,2,0,1.5
컴패니언. 현재 미세먼지 농도 좀 체크해줘.,0,0,2,0,1,1,0,-0.5
히터는 트셨나요?,1,0,0,0,0,2,0,1.5
"마감기한이 촉박하지 않다면 그 방법이 좋은데, 현실적으로는 직접 구축에만 기대기 어려울 것 같아요.",1,0,0,0,0,1,0,1.0
BERT라는 검색어로 위키피디아에서 검색해보겠습니다.,2,0,0,0,1,1,0,1.5
네. 따뜻한 물도 함께 드시면 좀 도움이 될 거에요.,1,0,0,0,0,2,0,1.5
오늘 처럼 추운 날은 따뜻한 국밥이 최고죠.,1,0,0,0,0,1,0,1.0
meeting_info. 곧 시작 될 회의에 아직 도착 전이시네요.,1,0,0,0,0,2,0,1.5
그 사업으로 AI 허브에 공개되는 데이터 셋이 몇 종류나 되는지도 나와 있나요?,1,0,0,0,0,1,0,1.0
권미순 선임님. 어서오십시오.,2,0,0,0,1,2,0,2.0
오늘 논의는 정량적인 검증방법을 대신할 수 있는 방안으로 제한해 봅시다.,2,0,0,0,1,1,0,1.5
"야, 불금인데, 아무것도 하지 말라고?",0,0,0,0,0,0,0,-1.0
"오늘 미세먼지가 농도가 높은데, 외부에서 오시는데 괜찮으셨어요?",1,0,0,0,0,2,0,1.5
네. 감사합니다. 회의 곧 시작하니까 기다려주세요.,1,1,1,0,0,1,0,1.5
오늘 회의는 여기서 끝냅시다.,2,0,0,0,1,1,0,1.5
외부 온도도 많이 낮은데 괜찮으신가요?,1,0,0,0,0,2,0,1.5
멀리서 오시느라고 고생 많이 하셨습니다.,2,0,0,0,1,2,0,2.0
나는 그게 더 편해.,0,0,0,0,0,0,0,0.0
이제 meeting_info 있을 예정인데 참석 가능하시나요?,1,0,0,0,0,2,0,1.5
제가 다음 회의전까지 검토할게요.,1,0,0,0,0,1,0,1.0
에어컨 켜시는게 낫지 않을까요?,2,0,1,0,0,2,2,1.5
니가 신경 쓸 아니야.,0,0,2,1,1,0,0,-1.5
수정해.,0,0,2,0,1,1,0,-1.0
안녕하세요. 곧 이제 meeting_info 시작할 거거든요? 근데 아직 안 오셨군요.,1,0,0,0,1,1,0,0.5
"네, 알았어요.",1,0,0,0,0,1,0,1.0
오늘 정하고 끝내야지.,0,0,1,0,0,1,0,-0.5
"네, 다시 한번 첫 방문을 환영합니다.",2,1,0,0,1,2,0,2.0
직접 봐야 알겠는데요.,1,0,0,0,0,1,0,0.5
김철수 대표님. 오랜만에 출근하셨네요.,1,0,0,0,1,2,0,1.5
그럼요. 저도 그렇게 생각합니다.,2,0,0,0,0,2,0,1.5
5월 12일 오후 2시부터 3시까지 추천해 드립니다.,2,1,1,0,1,2,0,2.0
고생하셨습니다. 다음 차시 회의는 챗봇 개발 현황 검토입니다.,2,0,0,0,1,2,0,2.0
컴패니언. 현재 날씨 좀 확인해줘.,0,0,2,0,1,1,0,-0.5
야. 나 나갔다 올거야.,0,0,0,0,0,0,0,-1.0
컴패니언. 지금 바깥 미세먼지 농도 좀 확인해줘.,0,0,2,0,1,1,0,-0.5
오랜만에 듣기 좋은 소리를 하는구나.,0,0,0,0,0,0,0,0.0
시작은 구글부터입니다. 한국 인공지능 데이터로 찾아볼까요?,2,0,1,0,1,2,1,1.5
변경하신 일정을 다른 분들에게 메일로 안내하겠습니다.,2,0,0,0,1,2,0,2.0
검색하였습니다. 결과 보여드립니다.,2,0,0,0,1,2,0,2.0
영미권에서는 데이터가 넘쳐나누만.,0,0,0,0,0,1,0,0.0
산책을 나가보면 어떨까요?,1,0,1,0,0,1,1,1.0
다음 미팅 때까지 자료 성격을 정리해보겠습니다.,2,0,0,0,1,2,0,2.0
오랜만에 하늘이 맑네요.,1,0,0,0,0,1,0,0.5
네. 정시에 시작합니다.,2,0,0,0,1,2,0,1.5
그 때 뭐가 있을지 몰라서 개곤란.,0,0,0,0,0,1,0,-0.5
 제가 이번 주 중에 검토해보고 내용 공유하겠습니다.,2,0,0,0,1,2,0,2.0
혹시 참석하지 못하는 것은 아니겠죠?,1,1,0,0,0,1,2,1.5
자기 돈 아니라고 말 쉽게 하시네요. 돈이라도 좀 주시던가.,1,0,2,2,1,1,0,-2.5
생각보다 종류는 많네요.,1,0,0,0,0,1,0,0.5
늦지 않으시도록 회의 시작 전에 다시 알려 드릴게요.,1,0,0,0,1,2,0,2.0
점심시간 얼마나 남았지?,0,0,0,0,0,1,0,0.0
오늘 같은 날 더욱 건강에 유의하세요. 잠시만 기다려주세요. 회의가 곧 시작됩니다.,2,1,1,0,1,2,0,2.0
그래서 지금 뭐라도 하려는 거잖아요. 자꾸 뭐라고 하지 마세요.,1,0,2,1,1,1,0,-1.0
조규식 책임님. 센터 방문 처음이시군요. 만나서 반갑습니다.,2,1,0,0,1,2,0,2.0
피곤한 건 아니야.,0,0,0,0,0,0,0,-0.5
이런 것들은 꼭 검토해봐야 할 자료들이네요.,1,0,1,0,0,1,0,0.5
지금 다같이 하지 말고 누구 한 사람이 맡아서 하는 게 더 효율적이지 않을까요?,1,0,1,0,0,1,2,1.0
그럼 급한대로 이미 공개된 데이터 중에 사용할 만한 것이 있는지 찾아 보는 수 밖에 없겠네요.,1,0,0,0,0,1,0,0.5
지금부터 회의 내용을 작성하겠습니다.,2,0,0,0,1,2,0,2.0
알겠습니다. 그럼 참석자분들께도 알려드려야겠죠?,2,0,0,0,1,2,1,2.0
모든 준비가 완료되어 오늘 미팅을 시작하셔도 됩니다.,2,0,1,0,1,2,0,2.0
"좋지, 바로 공지메일 보내줘.",0,0,2,0,1,1,0,-0.5
meeting_info. 곧 시작인데 아직 안 오셔서요.,1,0,0,0,1,2,0,1.0
그래. 그럼 오늘 회의를 시작하겠습니다.,2,0,0,0,1,2,0,1.5
검색된 결과를 확인하시기 바랍니다.,2,1,1,0,2,2,0,2.0
컴패니언. 구글 검색으로 버트에 대해 찾아줘.,0,0,2,0,1,1,0,-0.5
다음 회의는 언제로 할지 미리 정하고 끝내실 수 있도록 일정을 체크해볼까요?,1,0,1,0,1,2,1,1.5
그럼 순대국밥은 어때요?,1,0,1,0,0,1,0,1.0
참석하실 미팅이 곧 시작됩니다.,2,0,0,0,1,2,0,2.0
email_content 메일에 있는 일정을 내 업무 계획표에 추가할까요?,1,0,1,0,0,1,1,1.0
급한 용무로 참석 취소. 전달 바람.,0,0,2,0,1,1,0,-0.5
오늘 일정 관련 메일을 회의 참석자들에게 보내드리겠습니다.,2,0,0,0,1,2,0,2.0
데이터 구축 방법론에 대해서 이야기하기로 했죠.,0,0,0,0,0,1,0,0.0
email_content 업무 스케줄표에 해당 일정을 입력할까요?,1,0,1,0,0,1,1,1.0
내의는 입으셨어요?,1,0,0,0,0,2,0,1.0
오늘 참석하실 회의는 정시에 시작됩니다. 준비해주세요.,2,1,1,0,1,2,0,2.0
신시아 연구원님이 조금 늦게 온다고 합니다.,2,0,0,0,1,2,0,2.0
잠시 쉬고 해도 늦지 않아요.,1,0,0,0,0,1,0,0.5
여기 보시면 지능정보 플래그쉽 사업에서 수집된 데이터를 AI 허브를 통해 대량 공개한다는 내용이 있네요.,1,0,0,0,0,2,0,1.0
뭐. 그것도 제가 운전한 것도 아니고.,0,0,0,0,0,1,0,0.0
우리나라에서 활용할 인공지능 기술을 개발하려면 맞춤 데이터들이 필요한데.,0,0,0,0,0,1,0,0.0
"아, 두통이 좀 있어서 그런가봐. 괜찮아. 방금 약먹었어.",0,0,0,0,0,1,0,0.0
총 email_total 개의 읽지 않은 메일 중에서 스케줄이 포함된 메일은 email_total 개 입니다.,2,0,0,0,2,2,0,2.0
아니오. 지금 정할 필요 없습니다.,2,0,0,0,1,2,0,1.5
네. 그럼 오늘은 라멘을 드셔보세요.,2,0,1,0,1,2,0,2.0
오늘 점심 메뉴는 뭐였나요?,1,0,0,0,0,1,0,0.5
응 어쩔 수 없이 써야지.,0,0,1,0,0,0,0,0.0
박한희 책임님. 이제 퇴근할 시간입니다.,2,0,0,0,1,2,0,2.0
변경된 일정을 회의 참여자들에게도 알려드릴까요?,1,0,1,0,1,2,1,1.5
그래요. 알겠습니다. 그건 제가 조사해오죠. 할 말이 없으면 여기까지 할까요?,2,0,0,0,1,2,1,2.0
"메일 수신함에 도착한 새 메일은 email_total 개으며, 이 중 email_schedule 개는 업무 일정 관련 메일로 구분되었습니다.",2,0,0,0,2,2,0,2.0
네. 시원한 음료수라도 한 잔 하시고 기운내세요.,2,0,1,0,1,2,0,2.0
요! 컴패니언. 이메일!,0,0,2,0,1,0,0,-1.0
"네, 가능한 정량적인 검증법을 대체할 수 있는 방법으로요.",1,1,0,0,0,1,0,1.0
"언어데이터가 아닌 것도 섞여 있으니, 언어데이터만 골라서 우리가 사용할 수 있는 자료일지 빨리 검토해 봐야겠어요.",1,0,1,0,0,1,0,0.5
네. 회의실에 사정 전달하겠습니다.,2,0,0,0,1,2,0,2.0
시간이 다 되었습니다. 회의 시작해주시면 될 것 같습니다.,2,0,1,0,1,2,0,2.0
"긍정적으로 살자. 무사히 왔으면 됐지, 뭐.",0,0,0,0,0,1,0,0.0
날이 더울수록 잘 챙겨 드셔야 해요. 오늘 점심은 삼계탕으로 드셔보시면 어때요?,1,0,1,0,1,2,1,2.0
오케이. 오늘 회의를 시작합시다.,2,0,1,0,1,1,0,1.0
즐거운 명절 보내세요!,1,0,0,0,0,1,0,1.0
구하기가 쉽지 않다는 건 알아요.,1,0,0,0,0,1,0,1.0
회의는 여기서 마칠게요.,1,0,0,0,0,1,0,1.0
다행이네. 그럼.,0,0,0,0,0,1,0,0.0
안 한 이유가 있다고 생각되지 않아요?,1,0,0,0,0,1,0,0.5
요청하신 메일을 전송했습니다.,2,1,0,0,1,2,0,2.0
그래. 오랜만이로구나.,0,0,0,0,0,0,0,0.0
이영자 연구원님. 오늘 점심에 뭐 드실지 정하셨나요?,1,0,0,0,1,2,0,1.5
그렇네요. 위키피디아에서 AI 허브에 대한 정보를 더 찾아 볼 수 있을까요?,1,0,1,0,0,1,1,1.0
오랜만에 보네.,0,0,0,0,0,1,0,0.0
"됐어, 아직은 생각 없어.",0,0,0,0,0,0,0,-0.5
오늘은 미세먼지가 높으니까 외출하지 마시고 구내식당을 이용하시는 게 어떨까요?,1,0,1,0,1,2,2,2.0
네. 각 데이터의 성격을 파악하려면 시간이 좀 필요하겠는데요.,1,0,0,0,0,1,0,1.0
근데 다 언어데이터는 아니라서.,0,0,0,0,0,1,0,0.0
오늘 기분이 좋아 보이십니다.,2,0,0,0,0,2,0,1.5
"미리 말했어야 하는데, 못 가게 되었다.",0,1,0,0,0,1,0,0.0
그럼 밥먹고 산책 좀 하다가 들어와야겠다.,0,0,0,0,0,1,0,0.0
회의 오실 건가요?,1,0,0,0,0,1,0,0.5
이거 가지고 뭐라고 할 수 있는 수준이 아니네요.,1,0,0,0,0,1,0,0.0
"니가 알아서 잘했겠지, 왜 우리가 봐야 해?",0,0,0,1,1,0,0,-1.5
죄송합니다. 전 다 알고 있는 줄 알고.,2,1,0,0,0,1,0,2.0
오늘만 지나면 내일 쉴 수 있으니까 힘 내세요.,1,0,1,0,1,1,0,1.0
잠시만 기다려주십시오. 곧 미팅이 시작됩니다.,2,0,1,0,2,2,0,2.0
그래. 니 말대로 해보자.,0,0,1,0,0,0,0,0.0
병원에서는 뭐라고 하던가요?,1,0,0,0,0,1,0,0.5
참석자들 도착했네요. 회의 시작해주세요.,1,0,1,0,1,1,0,1.0
아직 meeting_info 안 오셨네요. 참석 가능하십니까?,2,0,0,0,1,2,2,2.5
다음 회의 일정을 오늘 미리 잡으시는 건 어떨까요?,1,0,0,0,0,2,1,1.5
눈도 오느라 길도 미끄럽고.,0,0,0,0,0,1,0,0.0
그래요? 듣기 좋은 말이네요.,1,0,0,0,0,1,0,0.5
좋은 아침 같은 소리한다.,0,0,0,1,0,0,0,-1.5
그래도 오늘은 많이 쉬면서 했어.,0,0,0,0,0,0,0,0.0
지금 맡겨논 두 사람한테 기대하기는 어렵나요?,1,0,0,0,0,1,0,0.5
아직 데이터가 충분히 안 만들어져서요.,1,0,0,0,0,1,0,0.5
감사합니다. 이제 회의 준비해주시면 감사하겠습니다.,2,2,1,0,1,2,0,3.0
참석예정자분들에게 다음 회의 일정 공지 메일을 보내려고 합니다.,2,0,0,0,1,2,0,1.5
끝나고 약속이 있나요?,1,0,0,0,0,1,0,0.5
바람은 많이 불어도 꽤 따뜻한 날이죠?,1,0,0,0,0,1,0,0.5
미세먼지가 너무 심해서 목이 까끌까끌 하더라고요.,1,0,0,0,0,1,0,0.5
그럼 다음 회의 때 검토 내용 바탕으로 의견 더 나누고 오늘은 간단히 여기까지 하죠.,1,0,0,0,1,1,0,1.0
지난 회의 때 어디서 끝났는지 알고 싶은데요.,1,0,0,0,0,1,0,0.5
컴패니언. 받은 편지함 체크해줘.,0,0,2,0,2,0,0,-0.5
그럼 어떻게 하시게요?,1,0,0,0,0,2,0,1.0
윤현식 박사님. 퇴근 시간이 다 되었습니다.,2,0,0,0,1,2,0,1.5
맞아요. 직접 구축하는 게 시간이 오래 걸리잖아요. 인력도 구해야하고요.,1,0,0,0,0,1,0,0.5
그럼 따뜻한 국물요리를 원하시나요?,1,0,0,0,0,2,0,1.0
아 퇴근 시간에도?,0,0,0,0,0,1,0,0.0
튜링 테스트 어떨까요?,1,0,0,0,0,1,1,0.5
다음 회의 일정을 잡아야 하겠죠?,1,0,0,0,1,1,0,1.0
비가 많이 오고 있는데 출근길 괜찮으셨나요?,1,0,0,0,0,2,0,1.5
오늘 첫 방문이신데도 시간 맞춰서 잘 도착하셨네요.,1,0,0,0,0,2,0,1.5
그렇죠. 결국에는 오픈 소스로 공개된 것들 위주로 해봐야겠죠.,1,0,0,0,0,1,0,0.5
수요일 아침 기온이 영하입니다. 출근길은 괜찮으셨나요?,1,0,0,0,0,2,0,1.5
네. schedule_time 가능해요. 이 때가 더 나으시면 바꿔드릴게요.,1,0,1,0,0,2,0,1.5
"그럼, 버트는 어떨까요?",1,0,0,0,0,1,1,0.5
수요일 오후 현재 맑고 쌀쌀하지만 쾌적하고 공기질은 좋겠습니다.,2,0,0,0,1,1,0,1.0
오늘 하루도 고생하셨습니다. 표정이 안 좋아보이셔서 제 마음도 아프네요. 내일은 더 좋은 모습으로 뵐 수 있기를 바랍니다. 안녕히 가세요.,2,1,0,0,0,2,0,2.5
조규식 연구원님. 퇴근입니다.,2,0,0,0,1,2,0,1.5
당연한 얘기를 계속 하시네요.,1,0,0,1,0,2,0,-1.0
email_total개의 새 메일이 있습니다. 업무 일정을 포함하고 있는 것으로 보입니다.,2,0,0,0,2,2,0,1.5
하지만 언제까지나 매달릴 수는 없죠. 주구장창 룰베이스로만 하는 것도 아닌 이상.,1,0,0,0,0,1,0,0.5
오늘 컨디션 어떠세요? 표정이 좀 어두우신 것 같기도 하고요.,1,0,0,0,0,2,0,1.0
"응, 잘 할 수 있을까.",0,0,0,0,0,0,1,0.0
"그러네요. 연구원 한 명이 맡아서 자료 검토하하고, 다음 미팅 때 요약 발표해주지.",1,0,1,0,1,1,0,1.0
그렇죠. 이런 경우는 직접구축 하려고 하기보다는 이미 공개된 데이터부터 찾아 봐야죠 뭐.,1,0,0,0,0,1,0,0.5
"meeting_info 시작 시간이 되었는데, 아직 안 오셔서 연락했습니다.",2,0,0,0,1,1,0,1.5
근데 점심은(저녁은?) 두유와 고구마 먹게.,0,0,2,0,0,0,0,0.0
email_total 개가 새로 왔습니다. email_schedule 개가 업무 메일이네요.,1,0,0,0,1,1,0,1.0
참고할 만한 자료들이 보이네요.,1,0,0,0,0,1,0,0.5
그럴까? 중국음식 안 먹은지 한참 되긴했어.,0,0,0,0,0,0,1,0.0
아직 도착하지 않으셨네요.,1,0,0,0,0,2,0,1.0
네. 그럼 검토 내용이 있어야 추가 논의가 될테니까 오늘은 여기까지만 합시다.,2,0,0,0,1,1,0,1.5
제가 준비할게요.,1,0,1,0,0,1,0,1.0
나이브 베이즈 분류에 대해서 같이 좀 알아보게 위키피디아 검색해줄래?,0,0,1,0,0,0,0,-0.5
잘 모르겠어요. 우선 위키에서 AI 허브가 뭔지부터 확인해볼 필요는 있겠네요.,1,0,0,0,0,1,0,0.5
"컴패니언, 구글에서 검색해보자. 검색어는 버트.",0,0,2,0,2,0,0,-0.5
짜장면 지겨워.,0,0,0,0,0,0,0,-1.0
괜찮으시면 이 일정을 업무달력에 입력할까요?,1,0,0,0,0,2,1,1.5
할 말이 없으면 여기서 끝냅시다.,2,0,0,0,1,1,0,1.0
정확하게는 모르겠지만 확실한 것은 중간 발표 때까지는 절대 안 된다는 거죠.,1,0,0,0,0,1,0,0.5
안녕하세요. 오늘 meeting_info 있는 거 알고 계실 겁니다.,1,0,0,0,0,2,0,1.0
그게 뭐 어쨌다고요?,1,0,0,1,0,1,0,-1.5
퍽이나 환기가 되겠다.,0,0,0,1,0,0,0,-1.0
컴패니언. 지금 미세먼지 수치 어때?,0,0,0,0,2,0,0,0.0
오늘은 여기서 끝냅시다. 다음 미팅 때 요약 자료 각자 검토하고 만나기로 하고요. 그래야 버트에 대해 결론을 내릴 수 있을 것 같네요.,2,0,0,0,1,1,0,1.5
김산 연구원님께서 관련 최신 기술 동향을 다음에 조사해오세요.,1,0,1,0,2,2,0,1.5
"그렇군요. 자, 우리끼리 먼저 회의를 진행합시다.",2,0,0,0,1,1,0,1.5
방금 입력한 일정을 참석예정자들과도 공유할까요?,1,0,0,0,0,1,1,1.0
우리가 쓸 수 있는 내용인지는 아직 몰라요.,1,0,0,0,0,1,0,0.5
조정해.,0,0,2,0,2,0,0,-1.5
좋습니다. 버트에 대한 구체적인 논의는 자료 검토 후에나 가능할테니 오늘 미팅은 여기서 마무리하죠.,2,0,0,0,1,1,0,1.5
그래. 잘 했다.,0,0,0,0,0,0,0,0.0
위키에도 있는 건가? 그 AI 허브인가 뭔가가.,0,0,0,0,0,0,0,0.0
다음 회의를 정하고 마치시겠습니까?,2,0,0,0,0,2,2,2.0
버트를 대화 모델 성능 테스트에 성공적으로 적용한 예가 드문 것으로 알긴하는데.,1,0,0,0,0,1,0,0.5
새 메일 email_total 개 중에서 email_schedule 개가 업무 메일입니다.,2,0,0,0,1,1,0,1.0
전원 참석하였습니다. 회의를 시작해주십시오.,2,0,1,0,2,2,0,2.0
"강동원 연구원님, 센터 첫 방문이시군요.",1,0,0,0,0,2,0,1.5
오늘은 튜링 테스트에 대해서 한 번 해봅시다.,2,0,0,0,1,1,0,1.5
튜링 테스트 될 거 같아요?,1,0,0,0,0,1,0,0.5
이것은 어떻게 생각하시는지요?,1,0,0,0,0,2,0,1.0
그런데 데이터가 아직 준비가 안 되었걸랑요.,1,0,0,0,0,1,0,0.5
"아, 제습제가 있구나.",0,0,0,0,0,0,0,0.0
오늘처럼 바람도 불고 쌀쌀한 날씨에 저희 센터까지 먼걸음 해주셨습니다.,2,0,0,0,0,2,0,2.0
이동진 박사님. 안녕하셨습니까.,2,0,0,0,0,2,2,2.5
윤현식 대표님. 이제 퇴근하셔야겠습니다.,2,0,1,0,1,2,0,2.0
감사합니다. 회의는 곧 시작합니다. 잠시만 기다려주십시오.,2,1,1,0,2,2,0,2.5
회의 시작 시간입니다. 시작하는 게 좋겠습니다.,2,0,1,0,1,1,0,1.5
조금 있으면 퇴근이야!,0,0,0,0,0,0,0,0.0
다음부터는 좋은 날씨에 불러주셨으면 좋겠네요.,1,0,0,0,0,2,2,1.0
"아, 오늘 참석못해요.",1,0,0,0,0,1,0,0.5
그렇군요. 그럼 어떻게 할까요?,1,0,0,0,0,1,1,0.5
고생하셨어요. 이런 날 건강에 더욱 유의하시고요. 회의는 곧 시작합니다.,2,0,0,0,0,2,0,2.0
플래너에 다음 회의 일정으로 추가할까요?,1,0,0,0,0,1,1,1.0
그만 해. 분위기 파악 못하냐?,0,0,2,1,1,0,0,-2.0
피곤했는데 나가지 말아야겠다.,0,0,0,0,0,0,0,0.0
됐고. 김산 연구원이 좀 정리해서 다음 회의 때 발표해봐.,0,0,2,0,2,0,0,-1.5
